# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; -22.9634919; 11.5374740; -1.8709274; -0.0038689; 12.6785558; 9.4656192
0.3994463; -22.5821209; 11.4191429; -1.8723401; -0.0032056; 12.9733492; 9.7411739
0.7988925; -22.2007956; 11.3002971; -1.8733919; -0.0015581; 13.2698885; 10.0239732
1.1983388; -21.8193659; 11.1811656; -1.8734815; 0.0011055; 13.5682725; 9.7201654
1.5977851; -21.4380441; 11.0623813; -1.8715562; 0.0086857; 13.8514760; 6.3577812
1.9972313; -21.0561322; 10.9448660; -1.8665349; 0.0164761; 14.0336229; 2.0570611
2.3966776; -20.6736325; 10.8299218; -1.8583754; 0.0244062; 14.0920524; -8.6402473
2.7961239; -20.2897945; 10.7185486; -1.8477739; 0.0283706; 13.8449743; -9.3431385
3.1955702; -19.9049147; 10.6115853; -1.8357723; 0.0311573; 13.5727355; -9.2298174
3.5950164; -19.5189371; 10.5094607; -1.8230419; 0.0326248; 13.2983276; -9.3044945
3.9944627; -19.1312109; 10.4122612; -1.8097137; 0.0340599; 13.0158452; -9.2395855
4.3939090; -18.7425441; 10.3204297; -1.7958106; 0.0356389; 12.7291315; -9.1912968
4.7933552; -18.3527351; 10.2341680; -1.7812295; 0.0374067; 12.4373603; -9.1930770
5.1928015; -17.9613000; 10.1536680; -1.7658781; 0.0394372; 12.1385193; -9.0788909
5.5922478; -17.5689641; 10.0794044; -1.7497157; 0.0416197; 11.8359871; -8.9694062
5.9916940; -17.1754196; 10.0116675; -1.7326191; 0.0439853; 11.5293105; -8.9006741
6.3911403; -16.7807963; 9.9508674; -1.7145413; 0.0465196; 11.2166982; -8.7311432
6.7905866; -16.3851437; 9.8974101; -1.6954476; 0.0496074; 10.9013335; -8.5578586
7.1900328; -15.9880370; 9.8517566; -1.6748005; 0.0536598; 10.5831122; -8.4047453
7.5894791; -15.5911793; 9.8146222; -1.6534306; 0.0532135; 10.2609831; -8.1645303
7.9889254; -15.1938082; 9.7859252; -1.6322888; 0.0541624; 9.9380679; -7.9210505
8.3883717; -14.7934792; 9.7657028; -1.6101311; 0.0559063; 9.6144227; -7.6633971
8.7878179; -14.3964987; 9.7549655; -1.5840768; 0.0766596; 9.2905809; -7.3926207
9.1872642; -13.9951516; 9.7563843; -1.5491310; 0.0958458; 8.9671057; -7.1139245
9.5867105; -13.5957265; 9.7731178; -1.5076149; 0.1124942; 8.6444041; -6.9193753
9.9861567; -13.1962311; 9.8079469; -1.4588925; 0.1303012; 8.3185267; -6.6656531
10.3856030; -12.8013224; 9.8633010; -1.4026929; 0.1519278; 7.9920426; -6.1599541
10.7850493; -12.4072982; 9.9430118; -1.3385686; 0.1687011; 7.6779948; -5.8498003
11.1844955; -12.0209546; 10.0489274; -1.2665457; 0.1882731; 7.3673769; -5.5392480
11.5839418; -11.6483669; 10.1818517; -1.1883004; 0.2092720; 7.0606641; -4.2957377
11.9833881; -11.2815837; 10.3485361; -1.0983602; 0.2365290; 6.8133065; -3.4501918
12.3828343; -10.9374503; 10.5459851; -1.0001410; 0.2550487; 6.6079356; -3.1693332
12.7822806; -10.6144954; 10.7770089; -0.9003223; 0.2467699; 6.4134902; -4.1306424
13.1817269; -10.3140799; 11.0404316; -0.8014392; 0.2477293; 6.1508468; -5.7405748
13.5811732; -10.0415868; 11.3324568; -0.6984138; 0.2729152; 5.7660051; -6.9509408
13.9806194; -9.8016688; 11.6539008; -0.5819633; 0.3034249; 5.2624861; -5.4402060
14.3800657; -9.6035688; 12.0008133; -0.4533136; 0.3300752; 4.8319375; 3.1189032
14.7795120; -9.4522210; 12.3693464; -0.3277713; 0.3042216; 5.0832360; -2.9533311
15.1789582; -9.3461990; 12.7583734; -0.2030632; 0.3240712; 4.8456056; 1.5635493
15.5784045; -9.2919921; 13.1542231; -0.0698454; 0.3153123; 4.9728263; 3.3156239
15.9778508; -9.2877685; 13.5476757; 0.0472044; 0.2744792; 5.2323827; 3.1136783
16.3772970; -9.3266665; 13.9412998; 0.1505387; 0.2644301; 5.4649175; 2.8601703
16.7767433; -9.4066045; 14.3299498; 0.2558001; 0.2700192; 5.6701228; 2.6696819
17.1761896; -9.5280599; 14.7095485; 0.3631966; 0.2670184; 5.8551756; 2.5346864
17.5756359; -9.6908046; 15.0770357; 0.4702207; 0.2600956; 6.0256139; 2.4314138
17.9750821; -9.8920165; 15.4268638; 0.5732749; 0.2534851; 6.1846958; 2.4398771
18.3745284; -10.1230739; 15.7491663; 0.6693221; 0.2331113; 6.3403203; 2.6150020
18.7739747; -10.3857991; 16.0515868; 0.7604364; 0.2211688; 6.5029814; 2.8005877
19.1734209; -10.6743803; 16.3295409; 0.8474179; 0.2143507; 6.6727907; 2.9549066
19.5728672; -10.9840384; 16.5806152; 0.9308723; 0.2041429; 6.8473928; 3.0887490
19.9723135; -11.3139818; 16.8062163; 1.0105098; 0.1927886; 7.0252663; 3.2558804
20.3717597; -11.6602166; 17.0057017; 1.0847841; 0.1793859; 7.2080140; 3.7303119
20.7712060; -12.0196836; 17.1799112; 1.1529212; 0.1604171; 7.4118543; 4.1042685
21.1706523; -12.3898143; 17.3307993; 1.2131891; 0.1401976; 7.6298396; 4.8917078
21.5700985; -12.7676710; 17.4607611; 1.2642084; 0.1153588; 7.8817766; 5.4800775
21.9695448; -13.1515291; 17.5732628; 1.3056425; 0.0920810; 8.1547774; 5.9656564
22.3689911; -13.5379779; 17.6712429; 1.3378256; 0.0693905; 8.4419378; 6.7215668
22.7684374; -13.9290952; 17.7589185; 1.3612560; 0.0474062; 8.7542060; 7.1634066
23.1678836; -14.3204064; 17.8388692; 1.3758875; 0.0268403; 9.0751813; 7.6341582
23.5673299; -14.7112136; 17.9143793; 1.3826464; 0.0067917; 9.4052000; 8.1106248
23.9667762; -15.1040216; 17.9886905; 1.3849090; 0.0049195; 9.7435776; 8.4128085
24.3662224; -15.4962547; 18.0621034; 1.3864623; 0.0023579; 10.0825708; 8.7121334
24.7656687; -15.8889365; 18.1352250; 1.3866866; -0.0012363; 10.4220100; 8.7853346
25.1651150; -16.2816647; 18.2084416; 1.3863189; -0.0005992; 10.7534567; 8.9437551
25.5645612; -16.6742379; 18.2817287; 1.3861770; -0.0002605; 11.0807008; 9.0926720
25.9640075; -17.0669287; 18.3550820; 1.3860825; -0.0002117; 11.4037712; 9.1500997
26.3634538; -17.4595099; 18.4284481; 1.3860157; -0.0001229; 11.7198952; 9.2978448
26.7629000; -17.8521179; 18.5018393; 1.3859817; -0.0000587; 12.0326191; 9.4444000
27.1623463; -18.2448529; 18.5752639; 1.3859669; -0.0000163; 12.3421629; 9.5164457
27.5617926; -18.6373975; 18.6486560; 1.3859656; 0.0000102; 12.6464067; 9.6582189
27.9612389; -19.0300174; 18.7220606; 1.3859736; 0.0000243; 12.9478755; 9.8036206
28.3606851; -19.4227752; 18.7954871; 1.3859842; 0.0000292; 13.2468683; 9.8864480
28.7601314; -19.8153201; 18.8688688; 1.3859983; 0.0000419; 13.5417033; 10.0261181
29.1595777; -20.2079464; 18.9422594; 1.3860124; 0.0000088; 13.8342878; 10.1711213
29.5590239; -20.6007112; 19.0156746; 1.3860026; -0.0000421; 14.1249125; 10.2616328
29.9584702; -20.9932613; 19.0890508; 1.3860244; 0.0001510; 14.4121856; 10.4014162
30.3579165; -21.3858760; 19.1624188; 1.3860668; -0.0001598; 14.6976430; 10.5393246
30.7573627; -21.7786540; 19.2358452; 1.3858631; -0.0008132; 14.9813383; 10.5110573
31.1568090; -22.1711919; 19.3093381; 1.3855786; -0.0006121; 15.2590203; 10.6275250
31.5562553; -22.5639156; 19.3829682; 1.3853322; -0.0007977; 15.5347337; 10.7460808
31.9557015; -22.9564944; 19.4567025; 1.3849119; -0.0012033; 15.8086342; 10.7391722
32.3551478; -23.3491236; 19.5305549; 1.3850321; 0.0018078; 16.0776976; 10.6049476
32.7545941; -23.7417243; 19.6040867; 1.3866639; 0.0077798; 16.3390506; 10.3546643
33.1540404; -24.1345181; 19.6763748; 1.3915103; 0.0164693; 16.5902634; -0.6922501
33.5534866; -24.5278659; 19.7461490; 1.3994008; 0.0230364; 16.5735876; -4.1964246
33.9529329; -24.9217759; 19.8123091; 1.4096342; 0.0268147; 16.4721375; -7.5897472
34.3523792; -25.3163588; 19.8742630; 1.4205467; 0.0278253; 16.2870476; -7.7698014
34.7518254; -25.7116255; 19.9318587; 1.4316511; 0.0277670; 16.0953622; -7.8487415
35.1512717; -26.1074800; 19.9850629; 1.4427400; 0.0278278; 15.8993831; -7.9274749
35.5507180; -26.5039626; 20.0338705; 1.4538943; 0.0280119; 15.6989548; -8.0805861
35.9501642; -26.9008538; 20.0782185; 1.4651771; 0.0284921; 15.4919870; -8.0668134
36.3496105; -27.2982609; 20.1180508; 1.4766612; 0.0290815; 15.2825765; -8.0543771
36.7490568; -27.6962640; 20.1532772; 1.4884218; 0.0297770; 15.0705860; -8.0768231
37.1485030; -28.0943375; 20.1837365; 1.5004989; 0.0307239; 14.8549672; -8.0154988
37.5479493; -28.4929034; 20.2093199; 1.5129558; 0.0316788; 14.6378457; -7.9580300
37.9473956; -28.8920325; 20.2298716; 1.5258071; 0.0326138; 14.4190470; -7.9211075
38.3468419; -29.2907994; 20.2451852; 1.5391248; 0.0341646; 14.1979154; -7.8358454
38.7462881; -29.6901000; 20.2550725; 1.5530022; 0.0347647; 13.9757220; -7.7578732
39.1457344; -30.0897711; 20.2594302; 1.5667262; 0.0338856; 13.7522034; -7.6864992
39.5451807; -30.4886594; 20.2584099; 1.5798191; 0.0315721; 13.5270991; -7.5821964
39.9446269; -30.8886349; 20.2523326; 1.5921758; 0.0328407; 13.3013176; -7.4856539
40.3440732; -31.2880877; 20.2408984; 1.6073401; 0.0432096; 13.0745867; -7.3957386
40.7435195; -31.6882927; 20.2225897; 1.6259807; 0.0484405; 12.8466500; -7.2869802
41.1429657; -32.0867560; 20.1965990; 1.6461735; 0.0525006; 12.6180388; -7.1906624
41.5424120; -32.4855480; 20.1621902; 1.6677767; 0.0557915; 12.3883145; -7.0702101
41.9418583; -32.8843669; 20.1187855; 1.6907489; 0.0579096; 12.1582070; -6.9379362
42.3413046; -33.2789283; 20.0665714; 1.7140795; 0.0591171; 11.9280901; -6.7855913
42.7407508; -33.6731875; 20.0049365; 1.7376694; 0.0591951; 11.6986484; -6.6197374
43.1401971; -34.0673684; 19.9335059; 1.7632649; 0.0700277; 11.4703930; -6.4225808
43.5396434; -34.4553347; 19.8520144; 1.7929703; 0.0782873; 11.2445082; -6.1885825
43.9390896; -34.8415473; 19.7584604; 1.8237478; 0.0765799; 11.0224748; -5.9246779
44.3385359; -35.2285400; 19.6520597; 1.8543985; 0.0755295; 10.8056361; -5.6602594
44.7379822; -35.6076569; 19.5351926; 1.8856903; 0.0823016; 10.5943302; -5.4617898
45.1374284; -35.9852299; 19.4051353; 1.9196671; 0.0871469; 10.3863588; -5.2717612
45.5368747; -36.3600021; 19.2612254; 1.9554477; 0.0906754; 10.1815951; -5.0307086
45.9363210; -36.7270932; 19.1047875; 1.9919892; 0.0928735; 9.9822784; -4.7956517
46.3357672; -37.0886321; 18.9345988; 2.0296991; 0.0956180; 9.7884969; -4.5989892
46.7352135; -37.4442130; 18.7502659; 2.0685856; 0.0971182; 9.5989882; -4.3007418
47.1346598; -37.7916797; 18.5528184; 2.1061127; 0.0913150; 9.4183196; -4.0344464
47.5341061; -38.1326105; 18.3420596; 2.1434471; 0.0993061; 9.2456289; -3.8114365
47.9335523; -38.4629665; 18.1191592; 2.1864502; 0.1162025; 9.0794673; -3.4206651
48.3329986; -38.7843004; 17.8801181; 2.2350098; 0.1265865; 8.9277087; -3.0568072
48.7324449; -39.0929316; 17.6252867; 2.2874648; 0.1341388; 8.7898761; -2.7123655
49.1318911; -39.3860649; 17.3555642; 2.3422258; 0.1400961; 8.6657390; -2.2140446
49.5313374; -39.6642303; 17.0694199; 2.3986131; 0.1427197; 8.5630748; -1.5892608
49.9307837; -39.9267326; 16.7666474; 2.4560143; 0.1429185; 8.4886160; -1.0507970
50.3302299; -40.1704206; 16.4508297; 2.5127220; 0.1416940; 8.4390241; -0.4589241
50.7296762; -40.3950463; 16.1231010; 2.5689233; 0.1477345; 8.4172737; 0.1685312
51.1291225; -40.6008075; 15.7811620; 2.6318758; 0.1628434; 8.4252676; 0.9534772
51.5285687; -40.7834479; 15.4285730; 2.6946303; 0.1509605; 8.4703518; 1.5003847
51.9280150; -40.9447915; 15.0653161; 2.7518456; 0.1393428; 8.5408141; 1.9420038
52.3274613; -41.0869477; 14.6900770; 2.8066691; 0.1327593; 8.6311621; 2.3821265
52.7269076; -41.2089304; 14.3077207; 2.8584130; 0.1258583; 8.7407106; 2.9369469
53.1263538; -41.3107892; 13.9229142; 2.9065678; 0.1162849; 8.8739127; 3.2197168
53.5258001; -41.3951731; 13.5312100; 2.9517949; 0.1092959; 9.0176790; 3.5592094
53.9252464; -41.4621926; 13.1369201; 2.9942827; 0.1036574; 9.1739828; 3.9289548
54.3246926; -41.5129264; 12.7403703; 3.0335697; 0.0919559; 9.3434883; 4.1228881
54.7241389; -41.5490854; 12.3414133; 3.0680714; 0.0803474; 9.5181152; 4.3616906
55.1235852; -41.5722941; 11.9424559; 3.0983408; 0.0719663; 9.6994350; 4.5203218
55.5230314; -41.5837952; 11.5393294; 3.1286058; 0.0823940; 9.8838399; 4.5853166
55.9224777; -41.5818857; 11.1401142; -3.1180465; 0.0941701; 10.0674458; 4.5682833
56.3219240; -41.5655285; 10.7456483; -3.0829691; 0.0832299; 10.2470988; 4.4706267
