# 53d8b71e-a940-404e-b876-ddbca8f3c39d
# da39a3ee5e6b4b0d3255bfef95601890afd80709
# s_m,x_m,y_m,psi_rad,kappa_radpm,vx_mps,ax_mps2
0.0000000,-0.1653254,-0.5107222,1.2438585,-0.0068164,19.9999884,0.0002016
0.3996489,-0.5436968,-0.3818626,1.2413025,-0.0059715,19.9999924,0.0001018
0.7992978,-0.9216848,-0.2521261,1.2390871,-0.0051098,19.9999944,0.0000001
1.1989467,-1.2993785,-0.1216280,1.2372201,-0.0042341,19.9999944,0.0000001
1.5985956,-1.6769275,0.0095378,1.2356881,-0.0034318,19.9999944,0.0000001
1.9982445,-2.0542523,0.1412062,1.2344716,-0.0026851,19.9999944,0.0000001
2.3978934,-2.4314220,0.2732751,1.2335361,-0.0019967,19.9999944,0.0000000
2.7975422,-2.8085217,0.4056607,1.2328524,-0.0014264,19.9999944,0.0000000
3.1971911,-3.1855233,0.5382536,1.2323906,-0.0009140,19.9999944,0.0000000
3.5968400,-3.5624819,0.6709866,1.2321157,-0.0004617,19.9999945,0.0000000
3.9964889,-3.9394112,0.8037903,1.2320005,-0.0001165,19.9999945,0.0000000
4.3961378,-4.3163326,0.9366114,1.2320180,0.0001797,19.9999945,0.0000000
4.7957867,-4.6932891,1.0694147,1.2321388,0.0004250,19.9999945,-0.0000000
5.1954356,-5.0702213,1.2021399,1.2323408,0.0005842,19.9999945,-0.0000000
5.5950845,-5.4472053,1.3347846,1.2326022,0.0007052,19.9999945,-0.0000000
5.9947334,-5.8242726,1.4673396,1.2329003,0.0007863,19.9999945,-0.0000000
6.3943823,-6.2012908,1.5997462,1.2332162,0.0007928,19.9999945,-0.0000000
6.7940312,-6.5783962,1.7320493,1.2335319,0.0007757,19.9999945,-0.0000000
7.1936801,-6.9556075,1.8642585,1.2338336,0.0007343,19.9999944,-0.0000000
7.5933290,-7.3327205,1.9963145,1.2340780,0.0004815,19.9999944,-0.0000000
7.9929778,-7.7099385,2.1283258,1.2342186,0.0002228,19.9999944,-0.0000000
8.3926267,-8.0872377,2.2603278,1.2342563,-0.0000340,19.9999944,-0.0000000
8.7922756,-8.4643997,2.3922830,1.2342259,-0.0001090,19.9999944,-0.0000000
9.1919245,-8.8416461,2.5242867,1.2341589,-0.0002941,19.9999944,-0.0000000
9.5915734,-9.2188948,2.6563424,1.2339734,-0.0006338,19.9999944,-0.0000000
9.9912223,-9.5960340,2.7884681,1.2336442,-0.0010172,19.9999944,-0.0000000
10.3908712,-9.9731731,2.9207660,1.2331579,-0.0014338,19.9999944,0.0000000
10.7905201,-10.3502332,3.0532794,1.2324930,-0.0018937,19.9999944,0.0000000
11.1901690,-10.7271704,3.1860714,1.2316345,-0.0024080,19.9999944,0.0000000
11.5898179,-11.1039979,3.3192326,1.2305665,-0.0029485,19.9999944,0.0000000
11.9894668,-11.4806544,3.4528332,1.2292737,-0.0035215,19.9999944,0.0000001
12.3891157,-11.8571397,3.5869705,1.2277477,-0.0041182,19.9999944,0.0000001
12.7887645,-12.2333896,3.7217222,1.2259818,-0.0047162,19.9999945,0.0000001
13.1884134,-12.6093726,3.8571783,1.2239788,-0.0053083,19.9999945,0.0000001
13.5880623,-12.9851088,3.9934456,1.2217484,-0.0058432,19.9999945,0.0000001
13.9877112,-13.3604843,4.1305748,1.2193113,-0.0063216,19.9999945,0.0000002
14.3873601,-13.7355107,4.2686500,1.2167093,-0.0067004,19.9999945,0.0000002
14.7870090,-14.1102217,4.4077457,1.2139909,-0.0068591,19.9999945,0.0000002
15.1866579,-14.4844820,4.5478422,1.2112356,-0.0068429,19.9999945,0.0000002
15.5863068,-14.8583724,4.6889629,1.2085644,-0.0065248,19.9999945,0.0000001
15.9859557,-15.2319855,4.8310689,1.2062365,-0.0048244,19.9999945,0.0000000
16.3856046,-15.6052615,4.9738714,1.2047080,-0.0030372,19.9999945,-0.0000002
16.7852535,-15.9783468,5.1171319,1.2036966,-0.0020236,19.9999945,-0.0000004
17.1849024,-16.3514515,5.2607269,1.2032668,0.0001397,19.9999945,-0.0000006
17.5845513,-16.7243276,5.4042082,1.2038525,0.0031336,19.9999945,-0.0000008
17.9842001,-17.0974818,5.5472406,1.2059593,0.0074182,19.9999944,-0.0000010
18.3838490,-17.4711605,5.6891890,1.2099262,0.0126395,19.9999944,-0.0000011
18.7834979,-17.8453604,5.8291747,1.2161018,0.0185701,19.9999944,-0.0000011
19.1831468,-18.2206746,5.9663966,1.2249122,0.0255152,19.9999944,-0.0000008
19.5827957,-18.5973909,6.0997789,1.2366166,0.0332314,19.9999944,0.0000031
19.9824446,-18.9756481,6.2280818,1.2514511,0.0407416,19.9999944,0.0000116
20.3820935,-19.3561322,6.3502943,1.2689488,0.0466588,19.9999947,0.0000014
20.7817424,-19.7379387,6.4650290,1.2896046,0.0579238,19.9999947,0.0000483
21.1813913,-20.1234633,6.5712498,1.3149458,0.0674955,19.9999956,0.0001575
21.5810402,-20.5117000,6.6670712,1.3430760,0.0732102,19.9999988,-0.0000038
21.9806891,-20.9019567,6.7514293,1.3728279,0.0749656,19.9999987,-0.0080611
22.3803380,-21.2956481,6.8242466,1.4030518,0.0760170,19.9998376,-0.0364749
22.7799869,-21.6905846,6.8849376,1.4336718,0.0773829,19.9991088,-0.0394675
23.1796357,-22.0876284,6.9334329,1.4649257,0.0787254,19.9983201,-0.0411432
23.5792846,-22.4857412,6.9693702,1.4967438,0.0804891,19.9974978,-0.0416411
23.9789335,-22.8852471,6.9925434,1.5289971,0.0809068,19.9966656,-0.0419192
24.3785824,-23.2853206,7.0027661,1.5614978,0.0808245,19.9958278,-0.0422054
24.7782313,-23.6839623,7.0000737,1.5935675,0.0802979,19.9949842,-0.0427788
