# ac590f43-0cc5-4322-a497-d677ea71bc78
# da39a3ee5e6b4b0d3255bfef95601890afd80709
# s_m,x_m,y_m,psi_rad,kappa_radpm,vx_mps,ax_mps2
0.0000000,-0.1299801,-0.3891278,1.2571374,-0.0048496,19.9999884,0.0002017
0.3995150,-0.5099574,-0.2654842,1.2553098,-0.0042969,19.9999924,0.0001019
0.7990301,-0.8896373,-0.1412164,1.2537070,-0.0037136,19.9999944,0.0000001
1.1985451,-1.2690952,-0.0163980,1.2523458,-0.0031008,19.9999944,0.0000000
1.5980601,-1.6484912,0.1089224,1.2512210,-0.0025295,19.9999944,0.0000000
1.9975751,-2.0277078,0.2346089,1.2503211,-0.0019947,19.9999944,0.0000000
2.3970902,-2.4068066,0.3605920,1.2496234,-0.0014982,19.9999944,0.0000000
2.7966052,-2.7858751,0.4868192,1.2491083,-0.0010813,19.9999944,0.0000000
3.1961202,-3.1648614,0.6132011,1.2487557,-0.0007036,19.9999944,0.0000000
3.5956353,-3.5438166,0.7396914,1.2485420,-0.0003665,19.9999944,0.0000000
3.9951503,-3.9227521,0.8662388,1.2484485,-0.0001024,19.9999944,0.0000000
4.3946653,-4.3016788,0.9928006,1.2484570,0.0001283,19.9999944,0.0000000
4.7941803,-4.6806390,1.1193523,1.2485475,0.0003246,19.9999944,0.0000000
5.1936954,-5.0595674,1.2458404,1.2487048,0.0004619,19.9999944,-0.0000000
5.5932104,-5.4385401,1.3722657,1.2489142,0.0005733,19.9999944,-0.0000000
5.9927254,-5.8175916,1.4986210,1.2491602,0.0006580,19.9999944,-0.0000000
6.3922405,-6.1965799,1.6248460,1.2494294,0.0006891,19.9999944,-0.0000000
6.7917555,-6.5756502,1.7509825,1.2497095,0.0007063,19.9999944,-0.0000000
7.1912705,-6.9548270,1.8770357,1.2499924,0.0007096,19.9999944,-0.0000000
7.5907855,-7.3338930,2.0029379,1.2502382,0.0005158,19.9999944,-0.0000000
7.9903006,-7.7130684,2.1287897,1.2504055,0.0003275,19.9999944,-0.0000000
8.3898156,-8.0923367,2.2546171,1.2505013,0.0001519,19.9999944,-0.0000000
8.7893306,-8.4714678,2.3803683,1.2505654,0.0001779,19.9999944,-0.0000000
9.1888457,-8.8507022,2.5061245,1.2506329,0.0000939,19.9999944,-0.0000000
9.5883607,-9.2299610,2.6318742,1.2506240,-0.0001380,19.9999944,-0.0000000
9.9878757,-9.6091350,2.7576200,1.2505152,-0.0004094,19.9999944,-0.0000000
10.3873907,-9.9883422,2.8834459,1.2502942,-0.0007152,19.9999944,-0.0000000
10.7869058,-10.3675084,3.0093788,1.2499385,-0.0010652,19.9999944,0.0000000
11.1864208,-10.7466045,3.1354692,1.2494311,-0.0014814,19.9999944,0.0000000
11.5859358,-11.1256398,3.2617886,1.2487523,-0.0019349,19.9999944,0.0000000
11.9854509,-11.5045585,3.3883952,1.2478793,-0.0024361,19.9999944,0.0000000
12.3849659,-11.8833848,3.5153823,1.2467950,-0.0029995,19.9999944,0.0000000
12.7844809,-12.2620343,3.6428151,1.2454806,-0.0035931,19.9999944,0.0000001
13.1839959,-12.6404817,3.7707855,1.2439193,-0.0042237,19.9999944,0.0000001
13.5835110,-13.0187740,3.8994155,1.2421022,-0.0048750,19.9999944,0.0000001
13.9830260,-13.3967577,4.0287626,1.2400237,-0.0055269,19.9999944,0.0000001
14.3825410,-13.7744466,4.1589409,1.2376875,-0.0061695,19.9999945,0.0000001
14.7820561,-14.1518918,4.2900752,1.2351099,-0.0067147,19.9999945,0.0000001
15.1815711,-14.5288978,4.4221913,1.2323256,-0.0071873,19.9999945,0.0000002
15.5810861,-14.9055306,4.5553904,1.2293840,-0.0075394,19.9999945,0.0000001
15.9806011,-15.2818660,4.6897381,1.2265036,-0.0066339,19.9999945,0.0000001
16.3801162,-15.6577510,4.8250501,1.2240696,-0.0058363,19.9999945,-0.0000000
16.7796312,-16.0333053,4.9612461,1.2217082,-0.0059871,19.9999945,-0.0000002
17.1791462,-16.4086366,5.0983617,1.2194290,-0.0052380,19.9999945,-0.0000003
17.5786613,-16.7835273,5.2362047,1.2175605,-0.0038042,19.9999945,-0.0000005
17.9781763,-17.1582683,5.3746248,1.2165366,-0.0013192,19.9999944,-0.0000007
18.3776913,-17.5329876,5.5132462,1.2166398,0.0019971,19.9999944,-0.0000008
18.7772063,-17.9077324,5.6515359,1.2181640,0.0058886,19.9999944,-0.0000009
19.1767214,-18.2828564,5.7889529,1.2214552,0.0105827,19.9999944,-0.0000008
19.5762364,-18.6585268,5.9247518,1.2267902,0.0163217,19.9999944,-0.0000007
19.9757514,-19.0349913,6.0580715,1.2344516,0.0215278,19.9999944,-0.0000007
20.3752665,-19.4127364,6.1882244,1.2437390,0.0248946,19.9999944,0.0000043
20.7747815,-19.7910793,6.3142550,1.2554976,0.0352655,19.9999944,0.0000114
21.1742965,-20.1720668,6.4352423,1.2719017,0.0473474,19.9999947,0.0000245
21.5738115,-20.5552619,6.5489718,1.2935816,0.0610667,19.9999952,0.0000683
21.9733266,-20.9406423,6.6532759,1.3199163,0.0698424,19.9999965,-0.0094249
22.3728416,-21.3295282,6.7469639,1.3493037,0.0758526,19.9998083,-0.0401484
22.7723566,-21.7205561,6.8287876,1.3798124,0.0769985,19.9990062,-0.0412084
23.1718717,-22.1142211,6.8985924,1.4108695,0.0783043,19.9981830,-0.0420796
