# cfabdc4d-dc88-4767-b1cf-bbeed3df8890
# da39a3ee5e6b4b0d3255bfef95601890afd80709
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; -803.8901771; -158.2302640; 1.2382399; -0.0018444; 55.2827199; 1.3974543
9.9969079; -813.3462918; -154.9164526; 1.2340391; 0.0010406; 55.5348500; 1.3781479
19.9938159; -822.7745992; -151.7149508; 1.2551492; 0.0024475; 55.7823807; 1.3573184
29.9907238; -832.3239864; -148.7233448; 1.2789743; 0.0022143; 56.0251013; 1.3010047
39.9876317; -841.8998097; -145.9346162; 1.2933248; 0.0006967; 56.2567687; 1.2732680
49.9845396; -851.5402934; -143.1904832; 1.2879787; -0.0026073; 56.4825770; 1.2496005
59.9814476; -861.0820381; -140.1978943; 1.2377678; -0.0069958; 56.7033138; 1.2042309
69.9783555; -870.4727614; -136.7217386; 1.2083327; 0.0011412; 56.9152261; 1.1873690
79.9752634; -879.8722092; -133.3385932; 1.2464435; 0.0037615; 57.1234015; 1.1706333
89.9721714; -889.3798564; -130.2922940; 1.2704651; 0.0011091; 57.3279027; 1.1230524
99.9690793; -898.9335378; -127.3871268; 1.2803115; 0.0008636; 57.5234085; 1.0918944
109.9659872; -908.5223210; -124.5628696; 1.2884917; 0.0009062; 57.7128553; 1.0626856
119.9628952; -918.1495418; -121.8227934; 1.2990112; 0.0011914; 57.8966390; 0.9788073
129.9598031; -927.7925987; -119.1997709; 1.3116621; 0.0013428; 58.0654019; 0.9212846
139.9567110; -937.4779828; -116.7046685; 1.3259954; 0.0015404; 58.2238000; 0.8648591
149.9536189; -947.1951401; -114.3604788; 1.3425400; 0.0017693; 58.3721057; 0.7199710
159.9505269; -956.9503586; -112.1945356; 1.3630279; 0.0023326; 58.4952792; 0.6485688
169.9474348; -966.7551277; -110.2553280; 1.3886376; 0.0026852; 58.6060156; 0.5689203
179.9443427; -976.6150244; -108.5778745; 1.4161416; 0.0028157; 58.7029807; -0.2363679
189.9412507; -986.5050801; -107.1786182; 1.4443604; 0.0028251; 58.6627143; -1.4467540
199.9381586; -996.4371843; -106.0584454; 1.4727232; 0.0028990; 58.4156479; -3.0764109
209.9350665; -1006.4054170; -105.2266269; 1.5026780; 0.0030889; 57.8867750; -5.9328867
219.9319744; -1016.3915695; -104.7020839; 1.5341216; 0.0031980; 56.8529479; -6.8259749
229.9288824; -1026.4020945; -104.4973211; 1.5665856; 0.0031612; 55.6397375; -7.8723172
239.9257903; -1036.3965788; -104.6064031; 1.5961849; 0.0027709; 54.2068514; -8.1104542
249.9226982; -1046.3865535; -104.9922299; 1.6219128; 0.0023513; 52.6898833; -8.0524354
259.9196062; -1056.3311094; -105.6097805; 1.6432392; 0.0021881; 51.1392696; -7.9587156
269.9165141; -1066.2865414; -106.4544216; 1.6688265; 0.0029038; 49.5590537; -7.6840926
279.9134220; -1076.1992669; -107.5855503; 1.7012212; 0.0036252; 47.9840126; -7.4111754
289.9103299; -1086.1230833; -109.0849591; 1.7415282; 0.0042777; 46.4143059; -7.0938935
299.9072379; -1095.9397934; -110.9939837; 1.7842149; 0.0042845; 44.8603811; -6.7039005
309.9041458; -1105.6774199; -113.3259443; 1.8276674; 0.0043929; 43.3407111; -6.3643529
319.9010537; -1115.2708113; -116.0738726; 1.8720497; 0.0045153; 41.8469777; -5.7363303
329.8979617; -1124.7569803; -119.2668902; 1.9197506; 0.0050170; 40.4534103; -5.3419684
339.8948696; -1134.0557901; -122.9255899; 1.9723507; 0.0054970; 39.1110224; -4.9507184
349.8917775; -1143.1337457; -127.0865049; 2.0295837; 0.0059674; 37.8244408; -4.6989483
359.8886855; -1151.9531570; -131.7827598; 2.0912493; 0.0063525; 36.5614335; -4.5779849
369.8855934; -1160.4538035; -137.0260193; 2.1562592; 0.0066930; 35.2874911; -4.4807160
379.8825013; -1168.5944972; -142.8338736; 2.2254753; 0.0071546; 33.9944175; -4.2373751
389.8794092; -1176.1959564; -149.1265513; 2.3005432; 0.0079413; 32.7245951; -3.3811739
399.8763172; -1183.4956181; -156.1975704; 2.3766790; 0.0053281; 31.6748568; -1.4549897
409.8732251; -1190.4000872; -163.6055841; 2.3938978; -0.0020557; 31.2122694; -1.2748700
419.8701330; -1197.7652930; -171.2783846; 2.3760518; 0.0072639; 30.8012377; -1.4835416
429.8670410; -1203.0713749; -178.6535643; 2.7955314; 0.0615769; 30.3159131; -0.9643707
439.8639489; -1205.6259486; -187.6019751; 2.8811892; 0.0073558; 29.9962186; 0.2146709
449.8608568; -1207.8183442; -197.7978996; 2.9794605; 0.0082785; 30.0676774; 0.9519013
459.8577647; -1209.0795954; -207.9281476; 3.0539442; 0.0070134; 30.3825174; 0.8305297
469.8546727; -1209.6127240; -218.1032701; 3.1232504; 0.0064294; 30.6545726; 0.8653119
479.8515806; -1209.4843048; -228.0329034; -3.0973447; 0.0066971; 30.9354765; 1.0777562
489.8484885; -1208.6676232; -237.9955777; -3.0184704; 0.0089479; 31.2818185; 1.5433267
499.8453965; -1206.9982605; -247.7888047; -2.9276784; 0.0087651; 31.7712001; 2.0271186
509.8423044; -1204.4698960; -257.4497893; -2.8454121; 0.0075764; 32.4027621; 3.2034928
519.8392123; -1201.2251652; -266.8991547; -2.7795304; 0.0056042; 33.3764743; 3.8607868
529.8361202; -1197.4525921; -276.1490885; -2.7312488; 0.0042712; 34.5134886; 4.2165871
539.8330282; -1193.2812085; -285.2433720; -2.6933964; 0.0034003; 35.7139548; 4.0818356
549.8299361; -1188.8023503; -294.1764496; -2.6607204; 0.0031410; 36.8388115; 3.9585921
559.8268440; -1184.0503162; -302.9819227; -2.6365011; 0.0010638; 37.8978284; 3.6681119
569.8237520; -1179.2083044; -311.7337274; -2.6410308; -0.0018855; 38.8533776; 1.9120526
579.8206599; -1174.5219836; -320.5766349; -2.6713736; -0.0042018; 39.3422696; -1.2871025
589.8175678; -1170.2124341; -329.5911551; -2.7218063; -0.0054362; 39.0138448; -3.4237619
599.8144758; -1166.4002125; -338.8147754; -2.7781287; -0.0057134; 38.1264478; -4.6484649
609.8113837; -1163.1043640; -348.2471888; -2.8314919; -0.0049615; 36.8874704; -4.4970880
619.8082916; -1160.2692616; -357.8947427; -2.8805622; -0.0052034; 35.6478825; -4.3767838
629.8051995; -1157.9635890; -367.6166547; -2.9395596; -0.0068502; 34.3985888; -4.4038789
639.8021075; -1156.3380648; -377.5099232; -3.0232418; -0.0100403; 33.0939960; -4.4235608
649.7990154; -1155.7208313; -387.3789923; -3.1402059; -0.0130374; 31.7296188; -4.2157345
659.7959233; -1156.3387915; -397.2865234; 3.0190656; -0.0111510; 30.3723574; -3.8693963
669.7928313; -1158.0957451; -407.2028168; 2.9156724; -0.0098148; 29.0708805; -1.5625067
679.7897392; -1160.7737184; -416.6914348; 2.8178509; -0.0095348; 28.5285054; -1.2773046
689.7866471; -1164.4152783; -426.1793945; 2.7432761; -0.0035826; 28.0773473; -1.0604214
699.7835550; -1168.3341205; -435.3459034; 2.7448532; 0.0044414; 27.6972121; -1.3880200
709.7804630; -1172.3643777; -445.0543058; 2.7169011; -0.0188669; 27.1916117; 0.1912447
719.7773709; -1178.1634548; -452.0941147; 2.2116284; -0.0089993; 27.2618315; 1.0001951
729.7742788; -1186.3034263; -457.7374109; 2.1457144; -0.0062868; 27.6261682; 0.9071787
739.7711868; -1195.0233853; -462.9957322; 2.0814240; -0.0064030; 27.9525157; 0.9503191
749.7680947; -1204.0642314; -467.6467148; 2.0065812; -0.0084966; 28.2903454; 1.1049674
759.7650026; -1213.2907088; -471.4438020; 1.9131367; -0.0101132; 28.6781477; 1.7024321
769.7619105; -1222.8323431; -474.3086319; 1.8132876; -0.0094442; 29.2655817; 2.2434756
779.7588185; -1232.6137043; -476.2679267; 1.7261666; -0.0078951; 30.0221570; 3.3044433
